"","Overall","taxa"
"Stenotrophomonas.sp..WZN.1",0.000663428728881961,"Stenotrophomonas.sp..WZN.1"
"Acinetobacter.haemolyticus",0.000645640556464616,"Acinetobacter.haemolyticus"
"Kineococcus.radiotolerans",0.000637117396228539,"Kineococcus.radiotolerans"
"Paenibacillus.xylanexedens",0.000633992589406708,"Paenibacillus.xylanexedens"
"Candidatus.Solibacter.usitatus",0.000626028356503607,"Candidatus.Solibacter.usitatus"
"Sporosarcina.psychrophila",0.000622752150497273,"Sporosarcina.psychrophila"
"Xanthomonas.campestris",0.000620217822834696,"Xanthomonas.campestris"
"Acinetobacter.sp..TTH0.4",0.00059934646915603,"Acinetobacter.sp..TTH0.4"
"Pseudomonas.aeruginosa",0.000593435477786,"Pseudomonas.aeruginosa"
"Leuconostoc.citreum",0.000557098796101004,"Leuconostoc.citreum"
"Rhodococcus.sp..PBTS.2",0.000553762981032812,"Rhodococcus.sp..PBTS.2"
"Streptomyces.griseochromogenes",0.000548647191370716,"Streptomyces.griseochromogenes"
"Calothrix.sp..NIES.4071",0.000547197304379967,"Calothrix.sp..NIES.4071"
"Streptococcus.gordonii",0.000546834497318147,"Streptococcus.gordonii"
"Pimelobacter.simplex",0.000544567583627423,"Pimelobacter.simplex"
"Aminobacter.aminovorans",0.000539070195759966,"Aminobacter.aminovorans"
"Rhizorhabdus.dicambivorans",0.000539041696262968,"Rhizorhabdus.dicambivorans"
"Pseudarthrobacter.chlorophenolicus",0.000531520986526101,"Pseudarthrobacter.chlorophenolicus"
"Lawsonella.clevelandensis",0.000526956741251137,"Lawsonella.clevelandensis"
"Brucella.sp..141012304",0.000507974004172517,"Brucella.sp..141012304"
"Pseudomonas.mendocina",0.000485187056831395,"Pseudomonas.mendocina"
"Enterococcus.faecalis",0.000482713022260118,"Enterococcus.faecalis"
"Burkholderia.pseudomallei",0.000477172592416644,"Burkholderia.pseudomallei"
"Streptomyces.globisporus",0.000476756812792498,"Streptomyces.globisporus"
"Fischerella.sp..NIES.3754",0.000475416167172674,"Fischerella.sp..NIES.3754"
"Sphingomonas.hengshuiensis",0.000474662295267757,"Sphingomonas.hengshuiensis"
"Microbacterium.paludicola",0.000474334226662449,"Microbacterium.paludicola"
"Deinococcus.gobiensis",0.000471048721693679,"Deinococcus.gobiensis"
"Prevotella.jejuni",0.000465652732541302,"Prevotella.jejuni"
"Rhodovulum.sp..P5",0.000453791986508721,"Rhodovulum.sp..P5"
"Hymenobacter.sp..APR13",0.00044677342473126,"Hymenobacter.sp..APR13"
"Ochrobactrum.pseudogrignonense",0.000430039839168843,"Ochrobactrum.pseudogrignonense"
"Corynebacterium.ammoniagenes",0.000425534039578134,"Corynebacterium.ammoniagenes"
"Gemmatirosa.kalamazoonesis",0.000424419928583316,"Gemmatirosa.kalamazoonesis"
"Auricoccus.indicus",0.00042390241298241,"Auricoccus.indicus"
"Truepera.radiovictrix",0.000422273190166973,"Truepera.radiovictrix"
"Lentzea.guizhouensis",0.00041963336193452,"Lentzea.guizhouensis"
"Saccharomyces.cerevisiae",0.000419418341547452,"Saccharomyces.cerevisiae"
"Corynebacterium.uterequi",0.000418663046433465,"Corynebacterium.uterequi"
"Psychrobacter.sp..P2G3",0.000417621678028532,"Psychrobacter.sp..P2G3"
"Sphingopyxis.macrogoltabida",0.000415547726474632,"Sphingopyxis.macrogoltabida"
"Jeotgalibaca.dankookensis",0.000396242626673407,"Jeotgalibaca.dankookensis"
"Streptomyces.sp..SCSIO.03032",0.000393057974652796,"Streptomyces.sp..SCSIO.03032"
"Microbacterium.sp..No..7",0.000385965384480608,"Microbacterium.sp..No..7"
"Roseomonas.gilardii",0.00038214593963376,"Roseomonas.gilardii"
"Lactobacillus.fermentum",0.000378761103683447,"Lactobacillus.fermentum"
"Bradyrhizobium.sp..SK17",0.000377178931433629,"Bradyrhizobium.sp..SK17"
"Pseudomonas.protegens",0.000374967146514827,"Pseudomonas.protegens"
"Bifidobacterium.pseudolongum",0.000374033896492267,"Bifidobacterium.pseudolongum"
"Acidovorax.sp..T1",0.000369731007711295,"Acidovorax.sp..T1"
"Delftia.sp..HK171",0.000366945115635079,"Delftia.sp..HK171"
"Sphingomonas.sp..KC8",0.000355883157790805,"Sphingomonas.sp..KC8"
"Sphingobacterium.mizutaii",0.000355626657857628,"Sphingobacterium.mizutaii"
"Shinella.sp..HZN7",0.000351113062575341,"Shinella.sp..HZN7"
"Mesorhizobium.amorphae",0.000346560572918689,"Mesorhizobium.amorphae"
"Bosea.sp..AS.1",0.000339040092145981,"Bosea.sp..AS.1"
"Croceicoccus.marinus",0.000337838240928987,"Croceicoccus.marinus"
"Bacillus.clausii",0.000325854186594138,"Bacillus.clausii"
"Mesorhizobium.australicum",0.000321185704783857,"Mesorhizobium.australicum"
"Veillonella.parvula",0.000312538375342994,"Veillonella.parvula"
"Orrella.dioscoreae",0.00030461391398143,"Orrella.dioscoreae"
"Lysinibacillus.sphaericus",0.000269819190948961,"Lysinibacillus.sphaericus"
"Nostoc.sp..NIES.3756",0.000268169613574867,"Nostoc.sp..NIES.3756"
"Laceyella.sp..FBKL4.010",0.000263234117586076,"Laceyella.sp..FBKL4.010"
"Deinococcus.actinosclerus",0.000257535801409627,"Deinococcus.actinosclerus"
"Novosphingobium.sp..PP1Y",0.000254277179757963,"Novosphingobium.sp..PP1Y"
"Pantoea.sp..At.9b",0.000225778615356047,"Pantoea.sp..At.9b"
"Staphylococcus.succinus",0.000221176906013318,"Staphylococcus.succinus"
"Pseudomonas.sp..ATCC.13867",0.000217272237569519,"Pseudomonas.sp..ATCC.13867"
"Sphingomonas.wittichii",0.000215316354389746,"Sphingomonas.wittichii"
"Hymenobacter.sp..DG25A",0.000211761246333287,"Hymenobacter.sp..DG25A"
"Corynebacterium.testudinoris",0.000207274712650783,"Corynebacterium.testudinoris"
"Streptococcus.pseudopneumoniae",0.000193211320534467,"Streptococcus.pseudopneumoniae"
"Pseudomonas.fulva",0.000191918093519676,"Pseudomonas.fulva"
"Jeotgalibaca.sp..PTS2502",0.000182292701280964,"Jeotgalibaca.sp..PTS2502"
"Hyphomicrobium.nitrativorans",0.000181935156887568,"Hyphomicrobium.nitrativorans"
"Psychrobacter.sp..AntiMn.1",0.000163730246291742,"Psychrobacter.sp..AntiMn.1"
"Mycobacterium.thermoresistibile",0.000155930820274347,"Mycobacterium.thermoresistibile"
"Rhodoplanes.sp..Z2.YC6860",0.000151831834305133,"Rhodoplanes.sp..Z2.YC6860"
"Sphingomonas.sp..JJ.A5",0.000143943510916377,"Sphingomonas.sp..JJ.A5"
"Bordetella.genomosp..8",0.000125792535729338,"Bordetella.genomosp..8"
"Aeromonas.sp..ASNIH3",0.000117302605590362,"Aeromonas.sp..ASNIH3"
"Leclercia.adecarboxylata",0.000102421550270602,"Leclercia.adecarboxylata"
"Calothrix.sp..PCC.7507",9.55201393728771e-05,"Calothrix.sp..PCC.7507"
"Mycobacterium.sp..QIA.37",8.71324085299589e-05,"Mycobacterium.sp..QIA.37"
"Thauera.humireducens",5.58942628113067e-05,"Thauera.humireducens"
"Massilia.putida",4.14031993722926e-05,"Massilia.putida"
"Devriesea.agamarum",8.21557796372961e-07,"Devriesea.agamarum"
"Streptomyces.lydicus",-3.30137162499608e-06,"Streptomyces.lydicus"
"Murdochiella.vaginalis",-6.67804902211058e-05,"Murdochiella.vaginalis"
"Xanthomonas.citri",-0.000116825643505254,"Xanthomonas.citri"
"Pantoea.vagans",-0.000129110718251105,"Pantoea.vagans"
"Lysinibacillus.fusiformis",-0.000190127722328037,"Lysinibacillus.fusiformis"
